,Equity,DrawdownPct,DrawdownDuration
2023-12-27 20:15:00+00:00,1000000000.0,0.0,
2023-12-27 20:30:00+00:00,1000000000.0,0.0,
2023-12-27 20:45:00+00:00,999999969.1147339,3.08852660113601e-08,
2023-12-28 14:30:00+00:00,1000000020.2105358,0.0,0 days 18:00:00
2023-12-28 14:45:00+00:00,1000000038.0352917,0.0,
2023-12-28 15:00:00+00:00,1000000006.5350475,3.150024296960652e-08,
2023-12-28 15:15:00+00:00,1000000020.5365124,1.749877864831717e-08,
2023-12-28 15:30:00+00:00,1000000003.5351696,3.4500120760228015e-08,
2023-12-28 15:45:00+00:00,999999932.5360241,1.0549926354741501e-07,
2023-12-28 16:00:00+00:00,999999913.53578,1.2449950703707913e-07,
2023-12-28 16:15:00+00:00,999999911.5368786,1.264984083038101e-07,
2023-12-28 16:30:00+00:00,999999973.035902,6.4999387205944e-08,
2023-12-28 16:45:00+00:00,999999966.5356579,7.149963110464341e-08,
2023-12-28 17:00:00+00:00,999999953.0346813,8.500060710847634e-08,
2023-12-28 17:15:00+00:00,999999971.5344372,6.650085193626865e-08,
2023-12-28 17:30:00+00:00,1000000001.5362682,3.649902202695898e-08,
2023-12-28 17:45:00+00:00,1000000003.5351696,3.4500120760228015e-08,
2023-12-28 18:00:00+00:00,999999983.5370007,5.449828899273257e-08,
2023-12-28 18:15:00+00:00,1000000000.5352917,3.749999855084951e-08,
2023-12-28 18:30:00+00:00,1000000045.0360241,0.0,0 days 03:45:00
2023-12-28 18:45:00+00:00,1000000045.4449596,0.0,
2023-12-28 19:00:00+00:00,1000000054.5361462,0.0,
2023-12-28 19:15:00+00:00,1000000094.0660549,0.0,
2023-12-28 19:30:00+00:00,999999989.5587429,1.0450730225652904e-07,
2023-12-28 19:45:00+00:00,999999993.5565456,1.0050949983408941e-07,
2023-12-28 20:00:00+00:00,999999987.0563015,1.0700974339972191e-07,
2023-12-28 20:15:00+00:00,1000000005.5560573,8.850998922671494e-08,
2023-12-28 20:30:00+00:00,1000000079.5581325,1.4507921086703846e-08,
2023-12-28 20:45:00+00:00,999999935.6216114,1.5844442868839792e-07,
2023-12-29 14:30:00+00:00,999999972.3194555,1.2174658803321137e-07,
2023-12-29 14:45:00+00:00,999999967.827091,1.2623895206953506e-07,
2023-12-29 15:00:00+00:00,999999930.8275793,1.632384603045267e-07,
2023-12-29 15:15:00+00:00,999999901.8297765,1.9223626035458352e-07,
2023-12-29 15:30:00+00:00,999999813.8292882,2.8023674036870005e-07,
2023-12-29 15:45:00+00:00,999999795.7187957,2.9834723125343743e-07,
2023-12-29 16:00:00+00:00,999999616.5524467,4.775135632462124e-07,
2023-12-29 16:15:00+00:00,999999468.9623222,6.251036739346461e-07,
2023-12-29 16:30:00+00:00,999999461.102045,6.329639503643847e-07,
2023-12-29 16:45:00+00:00,999999401.1099247,6.929560650847932e-07,
2023-12-29 17:00:00+00:00,999999298.1100467,7.959559332748611e-07,
2023-12-29 17:15:00+00:00,999999330.1107792,7.639552038751773e-07,
2023-12-29 17:30:00+00:00,999999403.1118778,6.909541121480345e-07,
2023-12-29 17:45:00+00:00,999999416.3320926,6.777338985575199e-07,
2023-12-29 18:00:00+00:00,999999449.1110233,6.449549709852676e-07,
2023-12-29 18:15:00+00:00,999999395.8822635,6.98183725722501e-07,
2023-12-29 18:30:00+00:00,999999473.1100467,6.209559497705186e-07,
2023-12-29 18:45:00+00:00,999999490.7744008,6.032915973452901e-07,
2023-12-29 19:00:00+00:00,999999424.6425222,6.694234697679491e-07,
2023-12-29 19:15:00+00:00,999999444.6406912,6.494253026456676e-07,
