,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,100,2,55,440.30885266113285,438.70934911403,-159.950354710287,-0.0036326854148759358,2023-12-27 20:45:00+00:00,2024-01-02 14:30:00+00:00,5 days 17:45:00
1,100,160,162,430.9000885620117,428.57014106092544,-232.99475010862807,-0.005407164126750907,2024-01-08 14:45:00+00:00,2024-01-08 15:15:00+00:00,0 days 00:30:00
2,100,166,731,430.28885266113286,428.1904612282898,-209.83914328430728,-0.004876704148540023,2024-01-08 16:15:00+00:00,2024-02-08 14:30:00+00:00,30 days 22:15:00
3,100,776,782,441.39102978515626,438.84088325904185,-255.01465261144176,-0.005777522319281525,2024-02-09 19:15:00+00:00,2024-02-09 20:45:00+00:00,0 days 01:30:00
4,100,862,865,425.81994122314455,423.1362818417586,-268.3659381385951,-0.006302333736830867,2024-02-15 14:45:00+00:00,2024-02-15 15:30:00+00:00,0 days 00:45:00
5,100,866,914,424.1165289916992,421.70145661905224,-241.50723726469892,-0.005694360411721333,2024-02-15 15:45:00+00:00,2024-02-20 14:45:00+00:00,4 days 23:00:00
6,100,921,940,425.2387946777344,423.0185687766114,-222.02259011230012,-0.0052211273498825594,2024-02-20 16:30:00+00:00,2024-02-21 14:45:00+00:00,0 days 22:15:00
7,100,965,1173,429.96820532226565,423.24248787307846,-672.5717449187187,-0.0156423599836788,2024-02-22 14:30:00+00:00,2024-03-05 14:30:00+00:00,12 days 00:00:00
8,100,1202,1279,426.3910885620117,423.9909816191013,-240.01069429103836,-0.005628886267310729,2024-03-06 15:15:00+00:00,2024-03-11 14:00:00+00:00,4 days 22:45:00
9,100,1302,1302,427.6435885620117,426.1359540561251,-150.76345058865854,-0.003525446297362067,2024-03-11 19:45:00+00:00,2024-03-11 19:45:00+00:00,0 days 00:00:00
10,100,1304,1316,428.3850587768555,426.58688511507887,-179.8173661776616,-0.004197563908766688,2024-03-12 13:45:00+00:00,2024-03-12 16:45:00+00:00,0 days 03:00:00
11,100,1319,1329,428.7357648925781,426.7994053411039,-193.63595514741974,-0.004516440451286741,2024-03-12 17:30:00+00:00,2024-03-13 13:30:00+00:00,0 days 20:00:00
12,100,1331,1352,429.57744122314455,427.2951725133663,-228.22687097782364,-0.00531282253388321,2024-03-13 14:00:00+00:00,2024-03-13 19:15:00+00:00,0 days 05:15:00
13,100,1408,1408,425.85,423.7368601751159,-211.3139824884115,-0.004962169366875879,2024-03-18 13:45:00+00:00,2024-03-18 13:45:00+00:00,0 days 00:00:00
14,100,1409,1423,425.03336755371095,422.87271825482304,-216.0649298887904,-0.005083481589512773,2024-03-18 14:00:00+00:00,2024-03-18 17:30:00+00:00,0 days 03:30:00
15,100,1441,1461,424.0163534545898,422.140999855705,-187.53535988848284,-0.004422833184630104,2024-03-19 15:30:00+00:00,2024-03-20 14:00:00+00:00,0 days 22:30:00
16,100,1467,1476,424.26183856201175,422.50167127855894,-176.01672834528017,-0.004148775881938183,2024-03-20 15:30:00+00:00,2024-03-20 17:45:00+00:00,0 days 02:15:00
17,100,1478,1479,425.1035148925781,423.1613546939487,-194.21601986294377,-0.004568675935601729,2024-03-20 18:15:00+00:00,2024-03-20 18:30:00+00:00,0 days 00:15:00
18,100,1480,1488,425.24879388427735,427.8500061035156,260.12122192382776,0.006116918511345881,2024-03-20 18:45:00+00:00,2024-03-21 14:15:00+00:00,0 days 19:30:00
